Symbol,Company Name,Industry,Market Cap,Stock URL
A,"Agilent Technologies, Inc.",Diagnostics & Research,38.80B,https://stockanalysis.com/stocks/A/
AA,Alcoa Corporation,Aluminum,7.35B,https://stockanalysis.com/stocks/AA/
AACG,ATA Creativity Global,Education & Training Services,27.04M,https://stockanalysis.com/stocks/AACG/
AACI,Armada Acquisition Corp. I,Shell Companies,81.82M,https://stockanalysis.com/stocks/AACI/
AACT,Ares Acquisition Corporation II,Shell Companies,666.56M,https://stockanalysis.com/stocks/AACT/
AADI,"Aadi Bioscience, Inc.",Biotechnology,42.72M,https://stockanalysis.com/stocks/AADI/
AAGR,African Agriculture Holdings Inc.,Farm Products,19.96M,https://stockanalysis.com/stocks/AAGR/
AAL,American Airlines Group Inc.,Airlines,7.55B,https://stockanalysis.com/stocks/AAL/
AAMC,Altisource Asset Management Corporation,Mortgage Finance,6.71M,https://stockanalysis.com/stocks/AAMC/
AAME,Atlantic American Corporation,Insurance - Life,36.31M,https://stockanalysis.com/stocks/AAME/
AAN,"The Aaron's Company, Inc.",Rental & Leasing Services,245.62M,https://stockanalysis.com/stocks/AAN/
AAOI,"Applied Optoelectronics, Inc.",Communication Equipment,410.48M,https://stockanalysis.com/stocks/AAOI/
AAON,"AAON, Inc.",Building Products & Equipment,5.92B,https://stockanalysis.com/stocks/AAON/
AAP,"Advance Auto Parts, Inc.",Specialty Retail,3.85B,https://stockanalysis.com/stocks/AAP/
AAPL,Apple Inc,Consumer Electronics,"3,019.13B",https://stockanalysis.com/stocks/AAPL/
AAT,"American Assets Trust, Inc.",REIT - Diversified,1.30B,https://stockanalysis.com/stocks/AAT/
AB,AllianceBernstein Holding L.P.,Asset Management,3.84B,https://stockanalysis.com/stocks/AB/
ABAT,American Battery Technology Company,Other Industrial Metals & Mining,76.18M,https://stockanalysis.com/stocks/ABAT/
ABBV,AbbVie Inc.,Drug Manufacturers - General,299.17B,https://stockanalysis.com/stocks/ABBV/
ABCB,Ameris Bancorp,Banks - Regional,3.29B,https://stockanalysis.com/stocks/ABCB/
ABCL,AbCellera Biologics Inc.,Biotechnology,1.06B,https://stockanalysis.com/stocks/ABCL/
ABEO,Abeona Therapeutics Inc.,Biotechnology,175.86M,https://stockanalysis.com/stocks/ABEO/
